,Eagle Hill,Nobles,Groton,Derryfield,Middlesex,Choate,Winsor,Brooks,Cambridge RLS,Greenwich Academy,Taft,NMH,Middletown,Valley Regional,Thayer,Dexter-Southfield,Hopkins,Lyme/Old Lyme,Miss Porter's,BB&N,Marianapolis Prep,Worcester Academy,St. Mark's,Greenwich Country Day,Berkshire Academy,Lincoln,St. Mary Academy-Bay View,St. Mary's-Lynn,Brewster Academy,Newton Country Day,Pomfret,Canterbury
Eagle Hill,,,,,,,,,,,,,,,,,,,,,,-16.6,,,,,,-42.0,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derryfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,
Middlesex,,,,,,,,11.7,6.2,,,1.8,,,,,,,,4.11,,,,,,,,,,,,
Choate,,,15.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
Winsor,,17.88,,,,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,
Brooks,,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge RLS,,,10.5,,,,,13.1,,,,3.2,,,,,,,,,,,,,,,,,,,,
Greenwich Academy,,,,,,,,,,,16.62,12.08,,,,,,,,,,,,,,,,,,,,
Taft,,,22.5,,,3.57,2.2,,,,,2.44,,,,,,,,,,,,,,,,,,,,
NMH,,22.0,,,,1.13,,9.9,,,,,,,,,,,,,,,,,,,,,,,,
Middletown,,,,,,,,,,,,,,,,,,35.5,,,,,,,,,,,,,,
Valley Regional,,,,,,,,,,,,,5.1,,,,,32.4,,,,,,,,,,,,,,
Thayer,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,37.93,,,
Dexter-Southfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6,,,
Hopkins,,,,,,,,,,11.0,22.29,17.75,,,,,,5.0,,,,,,,,,,,,,,
Lyme/Old Lyme,,,,,,18.49,,,,6.0,14.92,17.36,,,,,,,,,,,,,,,,,,,,
Miss Porter's,,,,,,,22.0,,,1.9,19.8,,,,,,,10.4,,,,,11.1,,,,,,,,,
BB&N,,22.56,21.44,,,,5.08,,17.0,,,,,,,,,,,,,,,,,,,,,,,
Marianapolis Prep,,,,45.2,,,,,,,,,,,,,,,,,,,,29.8,,,,6.5,,,,
Worcester Academy,,,,,,,,,,,,,,,,25.2,,,,,,,,,,,,,79.8,,,
St. Mark's,,27.1,,,9.4,29.4,10.9,19.7,,,8.7,17.1,,,,,,,,,,,,,,,,,,,,
Greenwich Country Day,,,,,,32.56,,,,31.2,,,,,,,28.58,27.9,,,,,,,7.22,,,,1.15,,14.53,
Berkshire Academy,,,,,,43.91,,,,21.7,47.4,,,,,,10.7,15.7,,,,,,,,,,,12.5,,7.31,
Lincoln,,,,,,,121.8,,,,,,,13.0,,,,,,40.33,,,,,,,,,,,,
St. Mary Academy-Bay View,,,,,,,,,,,,,,20.6,,,,,,68.78,,,,,,28.44,,,,95.77,,
St. Mary's-Lynn,,,,,,,,,,,,,,57.6,5.79,,,,,,,25.4,,,,44.6,37.0,,43.61,,,
Brewster Academy,,72.8,,,,41.36,,,,,37.79,40.23,,,,,,22.87,,,,,45.7,,,,,,,20.1,,
Newton Country Day,,52.7,62.0,,9.0,47.0,28.85,56.0,35.77,,,,,,,,,,,13.11,,,25.6,,,,,,,,,
Pomfret,,,69.4,,,45.74,35.8,,,16.67,33.6,42.9,,,,,14.05,41.08,13.8,,,,24.9,,,,,,14.33,,,
Canterbury,,,,,,,,,,80.2,98.66,94.12,,,,,69.2,74.2,51.1,,,,,48.0,58.5,,,,,,62.53,
