,BU Academy,Nobles,Taft,Groton,Brooks,Canterbury,Middletown,Hopkins,Middlesex,Choate,Winsor,St. Mary's-Lynn,Cambridge RLS,Derryfield,BB&N,Frederick Gunn,Valley Regional,Dexter-Southfield,Lyme/Old Lyme,Miss Porter's,Greenwich Academy,Brewster Academy,Berwick,Marianapolis Prep,Greenwich Country Day,St. Mary Academy-Bay View,St. Mark's,Lincoln,NMH,Berkshire Academy,Pingree,Newton Country Day,Pomfret,Suffield,Worcester Academy
BU Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groton,,0.11,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Brooks,,4.0,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canterbury,,,,,,,,6.4,,,,,,,,2.0,,,,,,1.07,,,,,,,,,,,,,
Middletown,,,,,,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,
Hopkins,,7.2,5.42,,,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,,,,,15.2,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,
Choate,,,2.5,10.7,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winsor,,4.04,7.8,,,,,,,,,,4.62,,7.38,,,,,1.7,,,,,,,,,,,,,,,
St. Mary's-Lynn,,,,,,,,,,,,,,,,,1.8,,,,,24.43,,,,,,,,,,,,,
Cambridge RLS,,,,,12.3,,,,7.2,,,,,,10.89,,,,,,,,,,,,,,,,,,,,
Derryfield,,,,,,,,,,,,,,,,,,,,,,23.4,,7.3,,,,,,,,,,,
BB&N,,6.22,,6.11,16.9,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,
Frederick Gunn,,,8.4,,,,,8.38,,11.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,
Valley Regional,,,,,,,11.7,,,,,,,,,,,,23.4,,,,,,,,,,,,,,,,
Dexter-Southfield,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,
Lyme/Old Lyme,,,15.72,,,2.4,,8.8,,13.22,,,,,,1.92,,,,,0.9,,,,,,,,,,,,,,
Miss Porter's,,,9.7,,,15.4,,,,,,,,,,1.3,,,19.4,,,,,,,,,,,,,,,,
Greenwich Academy,,,14.5,,,1.5,,7.9,,15.55,,,,,,6.1,,,,4.8,,,,,,,,,,,,,,,
Brewster Academy,,19.3,10.11,,14.6,,,,,7.06,,,,,,2.08,,,,,,,,,,,4.7,,,,,,,,
Berwick,,,,,,,,,,,,19.7,,6.7,,,,,,,,37.29,,,,,,,,,,,,,
Marianapolis Prep,,,,,,,,,,,,21.2,,,,,,,,,,,,,,,,,,35.0,,,12.1,,
Greenwich Country Day,,,,,,,,65.52,,,,,,,,,,,,,29.04,,,3.4,,,,,,,,,,,
St. Mary Academy-Bay View,,,,,,,,,,,56.0,5.2,,,19.0,,7.0,,,,,,,,,,,,,,,24.23,,,
St. Mark's,,14.6,16.7,18.96,20.9,,,,11.6,9.0,8.9,,,,,4.7,,,,10.6,,,,,,,,,1.1,,,,,,
Lincoln,,,,,,,,,,,32.0,12.5,,,33.11,,14.3,,,,,,,,,14.11,,,,,,19.62,,,
NMH,,35.0,,,29.0,4.79,,7.93,13.8,7.9,,,16.7,,,7.3,,,2.38,,0.63,5.86,,,,,,,,,,,,,
Berkshire Academy,,,22.6,,,16.3,,22.7,,14.41,,,,,,14.2,,,13.9,12.9,8.1,13.1,,,,,,,7.24,,,,,,
Pingree,40.0,,,,,,,,,,,,,,,,,,,,,,,131.0,,,39.0,,,,,,,,
Newton Country Day,,71.5,,35.7,35.4,,,,38.44,25.0,24.23,,28.85,,40.56,,,,,,,52.2,,,,,56.9,,,,,,,,
Pomfret,,41.6,41.7,37.3,,37.34,,34.4,,40.12,33.9,,,,,29.7,,,,35.6,,38.41,,,,,25.0,,32.55,25.31,,,,,
Suffield,,,,,,60.14,21.0,67.4,,,,,,,,,,,61.85,,60.1,61.21,,23.57,,,,,55.35,48.11,,,22.8,,
Worcester Academy,,,,,,,,,,82.4,,43.2,,58.9,,81.8,,15.4,,,,54.4,52.1,46.5,,,73.4,,74.5,,,,,,
